t,ue_x,ue_y,true_angle_deg,selected_beam_idx,selected_beam_deg,oracle_beam_idx,oracle_beam_deg,tracking_error_deg,distance,blocked,outage,snr_db,beam_gain_db,path_loss_db,blockage_loss_db,reward
87,476.0,380.0,-5.906141113770502,54,-6.0,54,-6.0,0.09385888622949778,349.85711369071805,True,True,-3.966652734767873,-0.0010571388629090172,11.965595595904967,22.0,-1.378666109390715
88,480.0,380.0,-5.253802751262242,55,-5.0,55,-5.0,0.25380275126224205,349.46816736292305,True,True,-3.9626975957985344,-0.007729900385794021,11.95496769541274,22.0,-1.3785079038319414
89,484.0,380.0,-4.600095666263286,55,-5.0,55,-5.0,0.3999043337367141,349.12461958446875,True,True,-3.964761277926346,-0.019190817136968623,11.945570460789376,22.0,-1.358590451117054
90,488.0,380.0,-3.9451862290375743,56,-4.0,56,-4.0,0.05481377096242568,348.82660448996717,True,True,-3.9377717574328166,-0.00036054593845455125,11.93741121149436,22.0,-1.3775108702973127
91,492.0,380.0,-3.2892426784918314,57,-3.0,57,-3.0,0.2892426784918314,348.5742388645495,True,True,-3.9405356893040704,-0.010039359247335471,11.930496330056735,22.0,-1.377621427572163
92,496.0,380.0,-2.632434868986479,57,-3.0,57,-3.0,0.36756513101352084,348.36762191684807,True,True,-3.9410437406298513,-0.01621249506443841,11.924831245565414,22.0,-1.357641749625194
93,500.0,380.0,-1.9749340108819808,58,-2.0,58,-2.0,0.02506598911801916,348.2068350851258,True,True,-3.92049581600115,-7.53964572557586e-05,11.920420419543893,22.0,-1.376819832640046
94,504.0,380.0,-1.3169124057932606,59,-1.0,59,-1.0,0.31691240579326063,348.09194187742986,True,True,-3.929319351039389,-0.012052016753480674,11.917267334285912,22.0,-1.3771727740415756
95,508.0,380.0,-0.6585431775636152,59,-1.0,59,-1.0,0.34145682243638475,348.0229877464993,True,True,-3.929365615106576,-0.013991131390602332,11.915374483715972,22.0,-1.357174624604263
96,512.0,380.0,0.0,60,0.0,60,0.0,0.0,348.0,True,True,-3.91474336682478,-0.0,11.914743366824782,22.0,-1.3765897346729912
97,516.0,380.0,0.6585431775636152,61,1.0,61,1.0,0.34145682243638475,348.0229877464993,True,True,-3.929365615106576,-0.013991131390602332,11.915374483715972,22.0,-1.377174624604263
98,520.0,380.0,1.3169124057932606,61,1.0,61,1.0,0.31691240579326063,348.09194187742986,True,True,-3.929319351039389,-0.012052016753480674,11.917267334285912,22.0,-1.3571727740415755
99,524.0,380.0,1.9749340108819808,62,2.0,62,2.0,0.02506598911801916,348.2068350851258,True,True,-3.92049581600115,-7.53964572557586e-05,11.920420419543893,22.0,-1.376819832640046
100,528.0,380.0,2.632434868986479,63,3.0,63,3.0,0.36756513101352084,348.36762191684807,True,True,-3.9410437406298513,-0.01621249506443841,11.924831245565414,22.0,-1.377641749625194
101,532.0,380.0,3.2892426784918314,63,3.0,63,3.0,0.2892426784918314,348.5742388645495,True,True,-3.9405356893040704,-0.010039359247335471,11.930496330056735,22.0,-1.357621427572163
102,536.0,380.0,3.9451862290375743,64,4.0,64,4.0,0.05481377096242568,348.82660448996717,True,True,-3.9377717574328166,-0.00036054593845455125,11.93741121149436,22.0,-1.3775108702973127
103,540.0,380.0,4.600095666263286,65,5.0,65,5.0,0.3999043337367141,349.12461958446875,True,True,-3.964761277926346,-0.019190817136968623,11.945570460789376,22.0,-1.378590451117054
104,544.0,380.0,5.253802751262242,65,5.0,65,5.0,0.25380275126224205,349.46816736292305,True,True,-3.9626975957985344,-0.007729900385794021,11.95496769541274,22.0,-1.3585079038319414
105,548.0,380.0,5.906141113770502,66,6.0,66,6.0,0.09385888622949778,349.85711369071805,True,True,-3.966652734767873,-0.0010571388629090172,11.965595595904967,22.0,-1.378666109390715
