t,ue_x,ue_y,ue_vx,ue_vy,ue_speed,true_angle_deg,selected_beam_idx,selected_beam_deg,oracle_beam_idx,oracle_beam_deg,tracking_error_deg,distance,blocked,outage,snr_db,beam_gain_db,path_loss_db,blockage_loss_db,reward
18,191.81034422774786,347.89440053718283,3.620341573368025,-1.445387459556378,3.89820702581324,-45.38689266611746,15,-45.0,15,-45.0,0.3868926661174612,449.7896040976263,False,False,15.615830591908821,-0.017962312211457276,14.366207095879721,0.0,0.4046332236763528
19,195.56693852422617,346.9764046248544,3.75659429647831,-0.9179959123283977,3.8671329435881847,-45.13218069441987,15,-45.0,15,-45.0,0.13218069441987268,446.47510329841555,False,False,15.7023639703609,-0.0020966083172783718,14.295539421321822,0.0,0.42809455881443603
20,199.30798730464025,345.68647417014023,3.741048780414089,-1.2899304547142063,3.957191751158508,-44.909035194032015,15,-45.0,15,-45.0,0.09096480596798528,442.9170338570973,False,False,15.779914625702402,-0.000992951510975185,14.219092422786623,0.0,0.4311965850280961
21,203.04252604794453,344.50781259562945,3.7345387433042703,-1.1786615745107902,3.9161234317203144,-44.67268130402746,15,-45.0,15,-45.0,0.3273186959725365,439.44948929784874,False,False,15.843146286413152,-0.01285650344797941,14.143997210138869,0.0,0.4337258514565261
22,206.56162127519883,342.65729058968185,3.51909522725431,-1.8505220059475924,3.9759857787698847,-44.51466227337437,15,-45.0,15,-45.0,0.48533772662563024,435.6610556321934,False,False,15.910461406747228,-0.028266325066336195,14.061272268186435,0.0,0.4364184562698892
23,209.97488267892905,340.3745054758,3.413261403730207,-2.282785113881841,4.106270970887678,-44.404029737282485,16,-44.0,16,-44.0,0.40402973728248526,431.64106282911837,False,False,16.0077106255052,-0.019588803433026488,13.972700571061772,0.0,0.4203084250202078
24,213.1874460563088,337.93277943936187,3.212563377379753,-2.4417260364381064,4.035169078328856,-44.32543502530032,16,-44.0,16,-44.0,0.3254350253003224,427.64916453776056,False,False,16.10336323104762,-0.01270895468306658,13.883927814269313,0.0,0.444134529241905
25,216.41426449923475,335.5927641057667,3.2268184429259525,-2.340015333595121,3.9859790547702776,-44.23438234198122,16,-44.0,16,-44.0,0.23438234198121677,423.721008977497,False,False,16.19764783925085,-0.006592209867912006,13.79575995088124,0.0,0.44790591357003384
26,219.86202781647168,333.44444007973493,3.4477633172369457,-2.148324026031775,4.062310674051171,-44.10176306296566,16,-44.0,16,-44.0,0.1017630629656594,419.7777331475418,False,False,16.292330558079115,-0.001242686518098331,13.70642675540279,0.0,0.45169322232316467
27,223.44989118452906,331.7757377983713,3.5878633680573793,-1.6687022813636194,3.9569345270899023,-43.90689295835932,16,-44.0,16,-44.0,0.09310704164067829,416.0849171382904,False,False,16.37695632061056,-0.00104027054436948,13.622003408845071,0.0,0.4550782528244224
28,226.37238246390538,329.05579672362916,2.922491279376306,-2.719941074742161,3.99237206784389,-43.87640101068848,16,-44.0,16,-44.0,0.12359898931151747,412.09863172116405,False,False,16.468140998638596,-0.001833205219059433,13.530025796142343,0.0,0.45872563994554394
29,229.27777731654396,326.29388530190903,2.9053948526385778,-2.7619114217201446,4.008674837295604,-43.851126406240695,16,-44.0,16,-44.0,0.14887359375930487,408.0940407861488,False,False,16.560614832095688,-0.0026596016302572645,13.436725566274058,0.0,0.46242459328382757
30,232.7155559942325,324.1305208021129,3.4377786776885153,-2.1633644997960837,4.061830645872345,-43.71214079073275,16,-44.0,16,-44.0,0.2878592092672534,404.15348798163853,False,False,16.64603716137045,-0.009943550923196204,13.344019287706352,0.0,0.46584148645481793
31,236.41860296959587,322.3339232706671,3.703046975363366,-1.7965975314458207,4.115861950034888,-43.50672694342296,16,-44.0,16,-44.0,0.49327305657703846,400.29850535689843,False,False,16.7183544953358,-0.0291981970013825,13.25244730766282,0.0,0.46873417981343213
32,240.02018615319625,320.50187164367844,3.6015831836003844,-1.8320516269887115,4.040769059516402,-43.31150571766079,17,-43.0,17,-43.0,0.3115057176607934,396.49255867172025,False,False,16.827184801874008,-0.01164429745624391,13.161170900669749,0.0,0.4530873920749605
33,243.39408251771619,318.43354298053276,3.3738963645199296,-2.0683286631456688,3.9574183677380823,-43.160317012796355,17,-43.0,17,-43.0,0.16031701279635513,392.6745643034193,False,False,16.928194862914594,-0.003084185351033603,13.068720951734372,0.0,0.4771277945165837
34,246.95994185260886,316.48609996041296,3.5658593348926906,-1.9474430201197965,4.062989922809883,-42.97332413234824,17,-43.0,17,-43.0,0.02667586765176111,388.8168894138455,False,False,17.025521934070117,-8.539222979691297e-05,12.974392673700088,0.0,0.48102087736280463
35,250.9098251379054,315.2465847294488,3.9498832852965178,-1.2395152309641628,4.139803857099627,-42.669148052721766,17,-43.0,17,-43.0,0.33085194727823364,385.2229317816061,False,False,17.101197531063704,-0.013135561322135888,12.885666907614159,0.0,0.48404790124254826
